vc	V(vout)	d(V(Vout))
0.000000000000000e+00	2.500000e+00	-2.384186e-04
1.000000000000000e-03	2.500000e+00	-1.192093e-04
2.000000000000000e-03	2.500000e+00	0.000000e+00
3.000000000000000e-03	2.500000e+00	0.000000e+00
4.000000000000000e-03	2.500000e+00	0.000000e+00
5.000000000000000e-03	2.500000e+00	0.000000e+00
6.000000000000000e-03	2.500000e+00	0.000000e+00
7.000000000000000e-03	2.500000e+00	0.000000e+00
8.000000000000000e-03	2.500000e+00	0.000000e+00
9.000000000000001e-03	2.500000e+00	0.000000e+00
1.000000000000000e-02	2.500000e+00	0.000000e+00
1.100000000000000e-02	2.500000e+00	0.000000e+00
1.200000000000000e-02	2.500000e+00	0.000000e+00
1.300000000000000e-02	2.500000e+00	0.000000e+00
1.400000000000001e-02	2.500000e+00	0.000000e+00
1.500000000000001e-02	2.500000e+00	0.000000e+00
1.600000000000001e-02	2.500000e+00	0.000000e+00
1.700000000000001e-02	2.500000e+00	0.000000e+00
1.800000000000001e-02	2.500000e+00	0.000000e+00
1.900000000000001e-02	2.500000e+00	0.000000e+00
2.000000000000001e-02	2.500000e+00	0.000000e+00
2.100000000000001e-02	2.500000e+00	0.000000e+00
2.200000000000001e-02	2.500000e+00	0.000000e+00
2.300000000000001e-02	2.500000e+00	0.000000e+00
2.400000000000001e-02	2.500000e+00	0.000000e+00
2.500000000000002e-02	2.500000e+00	0.000000e+00
2.600000000000002e-02	2.500000e+00	0.000000e+00
2.700000000000002e-02	2.500000e+00	0.000000e+00
2.800000000000002e-02	2.500000e+00	0.000000e+00
2.900000000000002e-02	2.500000e+00	0.000000e+00
3.000000000000002e-02	2.500000e+00	0.000000e+00
3.100000000000002e-02	2.500000e+00	0.000000e+00
3.200000000000002e-02	2.500000e+00	0.000000e+00
3.300000000000002e-02	2.500000e+00	0.000000e+00
3.400000000000002e-02	2.500000e+00	0.000000e+00
3.500000000000002e-02	2.500000e+00	0.000000e+00
3.600000000000003e-02	2.500000e+00	0.000000e+00
3.700000000000003e-02	2.500000e+00	0.000000e+00
3.800000000000003e-02	2.500000e+00	0.000000e+00
3.900000000000003e-02	2.500000e+00	0.000000e+00
4.000000000000003e-02	2.500000e+00	0.000000e+00
4.100000000000003e-02	2.500000e+00	0.000000e+00
